Date,Open,High,Low,Close,Volume
1995-11-06,1001.53,1001.53,988.92,988.92,0.0
1995-11-07,987.17,987.17,977.05,978.22,0.0
1995-11-08,976.28,976.28,962.98,964.01,0.0
1995-11-09,960.32,960.32,952.13,953.07,0.0
1995-11-10,951.93,951.93,946.0,948.82,0.0
1995-11-13,949.29,949.29,916.48,917.26,0.0
1995-11-14,916.66,916.66,897.52,902.56,0.0
1995-11-15,901.33,913.54,901.33,913.21,0.0
1995-11-16,915.96,915.96,900.83,904.08,0.0
1995-11-17,898.72,900.41,885.31,898.86,0.0
1995-11-20,896.27,898.86,892.05,892.79,0.0
1995-11-21,891.96,891.96,876.0,876.59,0.0
1995-11-22,878.0,878.0,856.92,864.42,0.0
1995-11-23,856.2,856.2,842.33,849.5,0.0
1995-11-24,849.6,874.97,849.6,871.11,0.0
1995-11-27,871.94,878.58,858.93,861.25,0.0
1995-11-28,854.5,854.5,841.44,843.68,0.0
1995-11-29,845.36,845.36,822.54,845.12,0.0
1995-11-30,840.87,863.98,838.36,862.1,0.0
1995-12-01,867.99,877.41,866.37,873.05,0.0
1995-12-04,870.29,873.05,861.97,863.7,0.0
1995-12-05,860.02,867.59,854.47,866.52,0.0
1995-12-06,870.39,878.93,868.12,878.93,0.0
1995-12-07,881.97,901.25,881.97,898.62,0.0
1995-12-08,900.28,908.12,886.54,887.12,0.0
1995-12-11,882.58,882.58,874.37,877.41,0.0
1995-12-12,878.99,880.08,875.43,879.49,0.0
1995-12-13,881.3,889.26,881.3,889.26,0.0
1995-12-14,890.81,891.98,884.31,884.34,0.0
1995-12-15,876.95,883.85,875.5,883.41,0.0
1995-12-18,883.29,883.58,881.17,882.63,0.0
1995-12-19,882.35,884.19,879.54,883.72,0.0
1995-12-20,883.68,887.19,883.68,885.53,0.0
1995-12-21,888.25,900.5,887.73,900.5,0.0
1995-12-22,900.86,906.63,899.38,900.65,0.0
1995-12-26,899.87,906.47,898.41,905.33,0.0
1995-12-27,908.81,923.09,908.81,922.5,0.0
1995-12-28,923.67,927.6,913.76,914.55,0.0
1995-12-29,912.72,912.72,906.32,908.53,0.0
1996-01-01,913.11,913.11,906.15,908.01,0.0
1996-01-02,906.78,906.78,899.52,900.38,0.0
1996-01-03,901.66,904.48,895.48,895.96,0.0
